param_lr__C,param_lr__penalty,param_lr__solver,param_pca__n_components,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time
0.1,l2,lbfgs,0.99,0.9215666666666668,0.0023377339455121827,1,1.331131601333618,0.10014925602391896
0.1,l2,saga,0.99,0.9214833333333333,0.0022369373904713654,2,17.6789822101593,1.5604387608485883
1.0,l2,saga,0.99,0.9214333333333332,0.0028349995100920454,3,891.6167373657227,1.9493175289985858
1.0,l2,lbfgs,0.99,0.92135,0.002662183731867922,4,2.3467453002929686,0.0868398214259572
10.0,l2,lbfgs,0.95,0.9202333333333333,0.001798456128028805,5,1.2341836929321288,0.054984676839697995
10.0,l2,saga,0.95,0.9202166666666667,0.0019497863130780765,6,43.19047360420227,4.254509020436031
1.0,l2,saga,0.95,0.9201,0.001569146972791952,7,497.5285705566406,0.7130208299302881
10.0,l2,saga,0.99,0.91985,0.002718455443813647,8,177.02557702064513,5.494073231754677
1.0,l2,lbfgs,0.95,0.9198166666666667,0.0015095989165632149,9,0.9865789413452148,0.08247157132665621
10.0,l2,lbfgs,0.99,0.9195,0.002329759167334206,10,2.86478853225708,0.09633200578911964
0.1,l2,lbfgs,0.95,0.9194166666666668,0.0013218253372598817,11,0.8021618843078613,0.04370322768673286
0.1,l2,saga,0.95,0.9192666666666666,0.0013327081867802318,12,7.637080383300781,0.663809188291587
10.0,l2,lbfgs,0.9,0.9172333333333332,0.002320440571194282,13,0.7364693641662597,0.0509446110009967
10.0,l2,saga,0.9,0.9171833333333332,0.002327015255644011,14,68.1297963142395,112.90360649158622
1.0,l2,lbfgs,0.9,0.9168333333333333,0.002306994196399765,15,0.6308316230773926,0.03924166725015163
1.0,l2,saga,0.9,0.9168166666666666,0.0025256462319352526,16,289.4528244018555,0.26117005438723634
0.1,l2,lbfgs,0.9,0.9155833333333334,0.0027416540019971044,17,0.5792875766754151,0.016610124655978324
0.1,l2,saga,0.9,0.9155833333333334,0.002637338725980357,17,3.8496490955352782,0.40640771584674384
0.01,l2,saga,0.99,0.9134166666666668,0.0026028830169640754,19,4.380612707138061,0.12660490227868407
0.01,l2,lbfgs,0.99,0.9132833333333334,0.0027037011669191445,20,1.1968754291534425,0.03885791660698997
0.01,l2,lbfgs,0.95,0.9122499999999999,0.0024272755646334784,21,0.8705385684967041,0.028376919164963453
0.01,l2,saga,0.95,0.9121666666666668,0.002384556795530592,22,2.1919870376586914,0.01568589180367017
0.01,l2,saga,0.9,0.9097166666666666,0.002886558889442953,23,1.4311285018920898,0.06656811597686323
0.01,l2,lbfgs,0.9,0.9096333333333334,0.0029601989422634485,24,0.7428426265716552,0.029393962616374416
